timestamp,session_id,current_time_str,action,sentiment,confidence,close,style,engine_decision,engine_reason,regime,ter,net_progress_3,momentum_slope,retracement_depth,velocity_increasing,regime_momentum,v_reversal
2025-07-01 09:30:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.25,25580.650390625,NONE,EXECUTED,Style ORE rejected due to false expansion; REMR ineligible; ITC lacks trend; VBD needs compression break; LSRM not in late session. No style eligible at 09:30 IST.,,0.0,73.2,,,False,,
2025-07-01 09:45:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25590.0,NONE,EXECUTED,"Style ORE rejected because eligibility false; REMR rejected because eligibility false; ITC rejected because eligibility false; VBD rejected because eligibility false; LSRM rejected because time not >=14:30. No style eligible, so HOLD.",,0.36,16.4,,,True,,
2025-07-01 10:00:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25550.650390625,NONE,EXECUTED,Market not in optimal zone for entry,,0.27,-29.4,,,False,,
2025-07-01 10:15:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25531.599609375,NONE,EXECUTED,"Style ORE rejected due to false eligibility; REMR rejected due to missing location context and no stall observed; ITC, VBD, LSRM ineligible per matrix. No style satisfies structural alignment.",,0.27,-38.0,,,False,,
2025-07-01 10:30:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25544.900390625,NONE,EXECUTED,No style eligible per matrix; cannot trade.,,0.03,13.6,,,False,,
2025-07-01 10:45:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25537.69921875,NONE,EXECUTED,Style ORE rejected due to false expansion; REMR rejected as location unknown; ITC rejected for missing trend; VBD rejected for no breakout volume; LSRM not in late session. No style eligible.,,0.15,-8.1,,,False,,
2025-07-01 11:00:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.25,25519.80078125,NONE,EXECUTED,"Style REMR selected because location-based rule satisfied. Rejected ORE, ITC, VBD because eligibility false and confidence below minimum.",,0.52,-23.1,,,False,,
2025-07-01 11:15:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25530.099609375,NONE,EXECUTED,Style ORE rejected due to false expansion; REMR rejected as location unknown; ITC rejected for no trend; VBD rejected for no breakout; LSRM not in late session.,,0.05,9.2,,,True,,
2025-07-01 11:30:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.25,25521.099609375,NONE,EXECUTED,Style REMR eligible but confidence below minimum threshold of 0.45; other styles not eligible.,,0.0,-3.0,,,False,,
2025-07-01 11:45:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25525.30078125,NONE,EXECUTED,Style ORE rejected due to false eligibility; REMR ineligible; ITC ineligible; VBD ineligible; LSRM not in late session. No eligible style meets structural alignment.,,0.04,-1.0,,,False,,
2025-07-01 12:00:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.25,25518.30078125,NONE,EXECUTED,Style REMR eligible but confidence below minimum threshold of 0.45. No other styles eligible.,,0.19,-3.5,,,False,,
2025-07-01 12:15:00,BACKTEST_20260119_150947,,HOLD,STALL,0.25,25535.650390625,NONE,EXECUTED,Style REMR eligible but confidence below minimum threshold of 0.45; other styles not eligible.,,0.37,20.2,,,False,,
2025-07-01 12:30:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25540.44921875,NONE,EXECUTED,Market not in optimal zone for entry,,0.31,16.0,,,False,,
2025-07-01 12:45:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25541.75,NONE,EXECUTED,No style eligible per matrix; cannot trade in RANGE mode at MIDDAY without clear expansion or extreme location.,,0.01,0.0,,,False,,
2025-07-01 13:00:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25532.44921875,NONE,EXECUTED,No style eligible per matrix; cannot trade.,,0.21,-5.6,,,False,,
2025-07-01 13:15:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25529.55078125,NONE,EXECUTED,Style ORE rejected due to false expansion; REMR rejected as location unknown and no extreme stall; ITC rejected for missing trend; VBD rejected for no breakout volume; LSRM not in late session. No style eligible.,,0.07,-4.7,,,False,,
2025-07-01 13:30:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25527.349609375,NONE,EXECUTED,"No style eligible per matrix; cannot trade in LATE session after 14:30. REMR rejected due to no location context, ORE requires clear expansion which is absent, ITC needs trending structure not present, VBD lacks compression break, LSRM blocks new positions.",,0.06,-3.8,,,False,,
2025-07-01 13:45:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25528.349609375,NONE,EXECUTED,Style ORE rejected due to false eligibility; REMR ineligible; ITC ineligible; VBD ineligible; LSRM prohibited after 14:30. No style satisfies eligibility or confidence thresholds.,,0.01,0.4,,,False,,
2025-07-01 14:00:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25537.44921875,NONE,EXECUTED,No style eligible per matrix; cannot trade in LATE session after 14:30.,,0.05,8.6,,,False,,
2025-07-01 14:15:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.25,25541.55078125,NONE,EXECUTED,Style [REMR] rejected because location is UNKNOWN and price not at HTF S/P/R; Style [ITC] rejected due to insufficient trend strength (confidence 0.25 < 0.70); Style [VBD] rejected as no volatility break confirmed; Style [ORE] ineligible per matrix; Style [LSRM] not active until 14:30+ but action prohibited anyway.,,0.22,11.1,,,False,,
2025-07-01 14:30:00,BACKTEST_20260119_150947,,HOLD,STALL,0.25,25532.650390625,NONE,EXECUTED,Style [REMR] rejected because location is UNKNOWN and confidence (0.25) below minimum (0.45). Style [ITC] rejected due to BEARISH swing context and shallow retracement not confirmed. Style [VBD] rejected as no volatility break detected. No eligible style meets structural alignment.,,0.14,-19.2,,,False,,
2025-07-01 14:45:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25529.30078125,NONE,EXECUTED,No style eligible per matrix; cannot trade in LATE session (14:45) under RANGE mode.,,0.22,-5.4,,,False,,
2025-07-01 15:00:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25539.30078125,NONE,EXECUTED,Style [LATE_SESSION_RISK_OFF] selected because Time >=14:30 prohibits new positions. Rejected all others due to eligibility false or insufficient confidence.,,0.21,13.3,,,False,,
2025-07-01 15:15:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.25,25549.05078125,NONE,EXECUTED,"Style [REMR] rejected because location is UNKNOWN and price not at HTF level; Style [ITC] rejected due to insufficient trend structure; Style [VBD] rejected as no volatility break confirmed; LATE_SESSION_RISK_OFF active, so HOLD mandatory.",,0.2,13.9,,,False,,
2025-07-02 09:30:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.25,25546.650390625,NONE,EXECUTED,"Style ORE eligible but confidence below minimum threshold of 0.55. REMR not eligible. ITC, VBD, LSRM not eligible. No style meets required confidence.",,0.0,13.7,,,False,,
2025-07-02 09:45:00,BACKTEST_20260119_150947,,HOLD,STRENGTH,0.25,25543.650390625,ORE,EXECUTED,Style ORE selected because minutes_since_open=30 aligns with opening range expansion. Rejected REMR because location is UNKNOWN and price not stalled at S/P/R.,,0.39,-25.2,,,False,,
2025-07-02 10:00:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.0,25526.69921875,NONE,EXECUTED,No style eligible per matrix; cannot trade.,,0.32,-9.2,,,False,,
2025-07-02 10:15:00,BACKTEST_20260119_150947,,HOLD,STRENGTH,0.72,25507.69921875,ITC,EXECUTED,Style ITC selected because trending down with shallow retracement and volume contraction aligns with continuation play. REMR rejected due to no extreme location; ORE rejected as not opening range phase.,,0.35,-26.4,,,True,,
2025-07-02 10:30:00,BACKTEST_20260119_150947,,HOLD,NEUTRAL,0.25,25513.849609375,NONE,EXECUTED,Style ORE eligible but confidence below minimum (0.25 < 0.55). Style ITC eligible but requires trending structure not present. No style meets required confidence threshold.,,0.06,-12.2,,,False,,
2025-07-02 10:45:00,BACKTEST_20260119_150947,,HOLD,STRENGTH,0.78,25492.19921875,ITC,EXECUTED,Style ITC selected because trending down with shallow retracement and volume contraction aligns with continuation setup. REMR rejected due to no extreme location; ORE rejected as not early expansion phase.,,0.38,-31.4,,,False,,
2025-07-02 11:00:00,BACKTEST_20260119_150947,,HOLD,STRENGTH,0.78,25486.25,ITC,EXECUTED,Style ITC selected because trending structure with shallow retracement aligns; REMR rejected due to no extreme location; ORE rejected as not early expansion phase.,,0.12,-5.5,,,True,,
2025-07-02 11:15:00,BACKTEST_20260119_150947,,HOLD,STRENGTH,0.45,25477.55078125,ITC,EXECUTED,Style ITC selected because trending down with shallow retracement and volume contraction aligns with continuation setup. Rejected REMR because location unknown and no extreme rejection observed.,,0.22,-14.3,,,False,,
2025-07-02 11:30:00,BACKTEST_20260119_150947,,HOLD,STRENGTH,0.25,25476.80078125,ITC,EXECUTED,Style ITC selected because trending structure with shallow retracement aligns. REMR rejected due to no extreme location. ORE rejected as not expanding from range.,,0.04,-0.4,,,False,,
2025-07-02 11:45:00,BACKTEST_20260119_150947,,HOLD,STRENGTH,0.45,25497.900390625,ITC,EXECUTED,Style ITC selected because trend_down with shallow retracement aligns. REMR rejected due to no extreme location. ORE rejected as not early expansion phase.,,0.17,4.0,,,False,,
2025-07-02 12:00:00,BACKTEST_20260119_150947,,HOLD,WEAKNESS,0.25,25489.75,ITC,EXECUTED,Style ITC selected because trend_down with shallow retracement aligns. REMR rejected due to no extreme location. ORE rejected as not early expansion phase.,,0.21,4.4,,,False,,
2025-07-02 12:15:00,BACKTEST_20260119_150947,,HOLD,WEAKNESS,0.25,25492.05078125,ITC,EXECUTED,Style ITC selected because trend_down with shallow retracement aligns. REMR rejected due to no extreme location. ORE rejected as not early expansion phase.,,0.07,2.1,,,False,,
2025-07-02 12:30:00,BACKTEST_20260119_150947,,HOLD,STRENGTH,0.45,25489.349609375,ITC,EXECUTED,Style ITC selected because trending down with shallow retracement; other eligible styles rejected due to ineligibility.,,0.19,-10.2,,,False,,
